Symbol,max_position,tcost,score,weights_ystd,sector,market_value,trend
2602,0.012,0.0,6.6436491675593e-06,0.00016215457985683092,801760.SI,34390699852.014,0.0
2603,0.012,0.0,-0.00153595952756891,0.0001569412662910788,801150.SI,27641556717.742,0.0
2605,0.012,0.0,-0.00334720424929823,0.0001569412662910788,801140.SI,7329153785.382,0.0350006951197946
2606,0.00557086312418661,0.0,0.000985489197180207,0.0009302608788992804,801730.SI,3055225710.0,0.0
2607,0.012,0.0,0.000541253724528591,0.0005816664908524777,801760.SI,23046518460.24,0.205191557942043
2609,0.00494649056781709,0.0,0.0012537593997246198,0.001140774205376702,801750.SI,4571720822.556,0.0
2611,0.00238506943672764,0.0,-0.00029125658720666604,0.0001569412662910788,801880.SI,5348308919.808,-0.0517558529057701
2614,0.00279127067626122,0.0,0.00010787230436641899,0.0002415893465160911,801110.SI,2931505651.132,-0.0755793230058321
2616,0.0031989968876782802,0.0,0.000439906876717662,0.0005021389777021955,801160.SI,4552723806.04,0.0286629766914352
2617,0.00631813925377016,0.0,0.0018362008683545398,0.0015978197135127787,801730.SI,5179986235.3359995,-0.0832368005108256
2618,0.012,0.0,0.00175159871039963,0.0015314318645107711,801080.SI,5249073600.0,-0.0578900599154846
2624,0.012,0.0,0.000255764088240292,0.00035764096569215206,801760.SI,49679188706.32,0.042802006585101
2625,0.007178809877384279,0.0,0.000554103246749213,0.0005917495922951767,801880.SI,8756892381.664,-0.0546525825980957
2626,0.012,0.0,-0.0018811974057465302,0.0001569412662910788,801150.SI,13762798946.056002,0.0
2628,0.0026922061030403,0.0,-0.00073193261598121,0.0001569412662910788,801720.SI,2926115856.564,-0.0158406366295063
2631,0.00422375424508562,0.0,-0.00164207782464812,0.0001569412662910788,801140.SI,4856408310.665999,-0.0360539504847269
2632,0.00270560159797756,0.0,0.000398377380719748,0.00046955051925048094,801030.SI,4626276176.088,0.0
2635,0.012,0.0,0.00302052485325693,0.0025271662429601663,801080.SI,7006079758.3359995,0.0
2637,0.00350515476785481,0.0,-0.0021333440044398397,0.0001569412662910788,801030.SI,3916389247.16,0.0920360429022996
2639,0.00275738263381773,0.0,0.0015940095424148,0.0014077706466242878,801890.SI,3695710410.682,0.0
2640,0.00680396606273705,0.0,0.000251908450143308,0.000354615422065648,801200.SI,6160436769.19,-0.180607275160328
2641,0.008943833112899209,0.0,-0.0007347980388021441,0.0001569412662910788,801710.SI,6643274365.444,0.0840113374438867
2643,0.012,0.0,0.00164603245567437,0.0014485933560398272,801030.SI,12664515714.48,0.00605458526732356
2645,0.00260097163072858,0.0,-0.0011563095916705302,0.0001569412662910788,801890.SI,3885301966.6740003,0.0
2646,0.0023866570223205,0.0,-0.000623872107881525,0.0001569412662910788,801120.SI,4307447592.0,-0.15687775074272198
2647,0.0113343926215329,0.005,0.0010605622595539698,0.0009891711862657178,801790.SI,18448792744.2,0.0868536570096357
2648,0.00600547440285881,0.0,0.00170457859837908,0.0014945348849025038,801030.SI,13493955544.356,0.0
2650,0.012,0.0,-0.00188404073728487,0.0001569412662910788,801120.SI,4507611390.722,0.013308422161438344
2653,0.00913633002382961,0.0,-0.000685222683401307,0.0001569412662910788,801150.SI,10849499689.6,0.0528454994247989
2654,0.0022775501058519302,0.0,0.00109158956620535,0.001013518510243064,801760.SI,2604075384.76,-0.14755512886937
2655,0.012,0.0,0.0026269110528233802,0.0022182950016117397,801080.SI,4123440000.0,0.0
2657,0.00317562690714795,0.0,0.00138680221896965,0.0012451737479929528,801750.SI,3702909461.394,-0.00087337395802361
2661,0.012,0.0,-0.00321307989999216,0.0001569412662910788,801120.SI,7338091208.576,0.0
2668,0.00555900660171381,0.0,0.0010073179860792599,0.0009473900677563703,801110.SI,3849391553.2159996,-0.0293323982056164
2669,0.0023962213134724897,0.0,0.00146077032884612,0.0013032169921388071,801030.SI,3469265013.06,0.0
2672,0.0021829498110739103,0.0,-0.000367024103254146,0.0001569412662910788,801160.SI,6384925584.268001,-0.10168914573715501
2673,0.00662376739511838,0.005,0.00054914262177373,0.0005878569584689393,801790.SI,27664534183.0,-0.006102246533623229
2675,0.012,0.0,0.00012289112931918898,0.00025337471354755,801150.SI,12343941796.132,0.0804081949589107
2677,0.00497847066728791,0.0,-0.00106806700118821,0.0001569412662910788,801110.SI,3421656660.24,-0.00931462006822565
2679,0.00155357134446655,0.0,-0.000219131295957939,0.0001569412662910788,801010.SI,2405654224.0,0.0
2683,0.012,0.0,0.0024755716699328602,0.002099538029658997,801030.SI,19865830044.4,0.10417507204862801
2685,0.0055774274646856,0.0,0.000710324320836141,0.0007143372582379512,801890.SI,4037420061.524,-0.194372944345752
2688,0.00461984894695141,0.0,-0.0022323147012276398,0.0001569412662910788,801010.SI,4247014472.662,0.15017403161529197
2689,0.0107255311909031,0.0,0.00109007993476775,0.001012333892895815,801890.SI,3746995531.2,0.0
2690,0.00635886829873084,0.0,-0.000626651675888114,0.0001569412662910788,801890.SI,14327472657.103998,0.343453619740998
