Symbol,Max,tcost,scores,weights_ystd,sect,mv,trend
2012,0.00327380677161334,0.0,-0.0005650418334701901,0.0,801140.SI,2678859134.622,0.0
2013,0.0117909641501932,0.0,0.000141605677523317,0.0,801740.SI,28888976302.356003,0.0
2017,0.00245325239154498,0.0,-0.0007360504486072031,0.0,801770.SI,5168479447.296,0.0
2019,0.012,0.0,0.00035352021555754503,0.0,801150.SI,16361942254.706001,0.0
2020,0.00397205714456634,0.0,0.00030178269337029,0.0,801150.SI,6203487065.256,0.0
2022,0.012,0.0,1.71153144180466e-05,0.0,801150.SI,8055125890.0859995,0.0303523734064933
2024,0.012,0.0,0.0006093054477722669,0.0,801200.SI,67162084940.174,-0.10897307928242
2025,0.010921721005972999,0.0,0.0015690831611170199,0.0,801740.SI,11683202549.28,0.00297157622007635
2027,0.012,0.0,-0.000138818766561422,0.0,801760.SI,71774834569.2,-0.154031809283028
2028,0.012,0.0,-0.000503490554256709,0.0,801730.SI,10477428332.161999,0.0
2030,0.012,0.0,0.0008911590325278711,0.0,801150.SI,16840270166.004,0.0
2032,0.00733940509711547,0.0,0.000708367051141567,0.0,801110.SI,41244645154.276,0.0
2034,0.0025091232530134898,0.0,0.00121411441985518,0.00316031004739783,801160.SI,4709034500.16,0.0
2035,0.0104312770663422,0.0,0.000754826358455892,0.0,801110.SI,8612148732.0,-0.023224168855489
2036,0.012,0.0,0.00044515132242832804,0.00716000246893655,801080.SI,10084094995.52,0.0
2038,0.006312784834446679,0.0,-0.00058795342695551,0.0,801150.SI,9735516021.69,-0.13398162321600302
2041,0.012,0.0,0.000284161420921395,0.0,801010.SI,11045760000.0,0.0217585931663172
2042,0.00389441527931405,0.0,-0.000647557444115222,0.0,801130.SI,8711118121.584,-0.000655992437923643
2043,0.012,0.0,-0.00120391019501409,0.0,801710.SI,7498273436.64,0.0
2044,0.011817817440143999,0.0,0.000193002937623135,0.0,801150.SI,41077768661.952,-0.0695018795884536
2045,0.012,0.0,0.00032393083847112,0.0,801080.SI,4139087995.68,0.0
2046,0.012,0.0,-0.00214997677202686,0.0,801890.SI,5300012846.6,0.0
2047,0.00380965172247754,0.0,0.0006535529510368309,0.0,801720.SI,5875769587.72,-0.0180663005610807
2048,0.00979185158962688,0.0,0.000159619963322276,0.0,801880.SI,8332472680.18,0.0
2049,0.012,0.0,0.000966431057203806,0.0,801080.SI,42485978706.39,0.00509213711193761
2050,0.012,0.0,0.00131030639336781,0.0029969431051462,801110.SI,53521316052.95,0.21976281532748002
2051,0.00846530562475137,0.0,-0.000873836424405442,0.0,801720.SI,8244915257.231999,-0.11970997529005699
2055,0.012,0.0,-0.0010295444779471901,0.0,801080.SI,5869279145.632,0.0
2056,0.012,0.0,0.000868611286548733,0.0,801050.SI,16925808640.7,0.0872083236830704
2057,0.012,0.0,-0.000305644222437715,0.0,801050.SI,3915303889.5959997,0.0
2063,0.012,0.0,-0.000427190717721605,0.0,801750.SI,9349726242.15,0.139823769627307
2064,0.0077017542337762795,0.0,-0.000505086589974607,0.0,801030.SI,8381150291.2,0.0
2065,0.012,0.0,0.00041117599018578,0.0,801750.SI,30726463473.216,0.0561400132399712
2075,0.012,0.005,0.00110197486574232,0.0039959241401949395,801040.SI,29769351204.28,0.013308422161438344
2078,0.012,0.0,0.000229196596979284,0.0,801140.SI,21392475079.768,0.0
2079,0.009540848835124979,0.0,0.0,0.0,801080.SI,7449442146.125999,0.000353176675566375
2080,0.004771263511521929,0.0,0.000717378666110047,0.0,801030.SI,19899189459.072,0.10572602147155902
2081,0.00765234441461341,0.0,6.13242535276881e-05,0.0,801720.SI,20717795125.44,-0.0212968659172792
2084,0.012,0.0,-0.00526909654477724,0.0,801140.SI,4137812617.356,0.0301905621576124
2085,0.00173856625233212,0.0,-0.000315351852812155,0.0,801880.SI,13464495185.96,-0.0224020717673532
2091,0.00327459606063865,0.0,-0.00014643038190011499,0.00369792636660288,801200.SI,8669983039.542,0.0
2092,0.00360728155416905,0.0,-0.000536961689211972,0.0,801030.SI,9692901688.168001,-0.152786805189558
2093,0.00788698312446965,0.0,0.0001842784334366,0.0,801770.SI,8578640459.4,0.0
2094,0.00249051941649908,0.0,-3.6564873153582895e-05,0.0,801030.SI,2613899804.054,-0.0759181851378776
2097,0.00513418039934112,0.0,0.000943207624991976,0.00337100098457984,801890.SI,5682345742.12,0.0
2099,0.00818271548958417,0.0,0.000604789380864876,0.0,801150.SI,10653485935.92,0.0
2100,0.012,0.0,0.000465064825350042,0.0,801010.SI,15726388634.188,0.140528285660037
2104,0.012,0.0,-0.00105178855894345,0.0,801770.SI,4987752981.378,0.0141465187079207
2106,0.012,0.0,0.0010446378556863301,0.004571449504333,801080.SI,7618508065.08,0.0650577406150868
2107,0.00692502283888494,0.0,0.00140865361866113,0.00340197107080402,801150.SI,5060496736.84,0.0
2110,0.005740485946132279,0.005,-0.000441810124763102,0.0,801040.SI,15068104362.766,-0.0685268949796223
2111,0.00264640855922305,0.0,-0.000201220613499475,0.0,801890.SI,4766721301.152,0.0
2115,0.00431462578118971,0.0,-5.7004188681068e-06,0.0,801770.SI,4599926410.0,0.0
2117,0.0037467513524615703,0.0,-0.000498652520401594,0.0,801140.SI,5680744815.271999,0.0
2119,0.012,0.0,-0.00025573111478733196,0.0,801080.SI,5012747740.0,0.0215831830594342
2120,0.012,0.0,0.000554912684504003,0.00394339996071396,801170.SI,71329537486.196,0.006319475144284529
2123,0.012,0.0,0.000265661974089898,0.0,801760.SI,9962141734.58,0.0
2124,0.012,0.0,0.000193386435743118,0.0,801010.SI,10033097475.84,0.0
2125,0.00504411643079861,0.0,-0.000277772711273004,0.0,801030.SI,4350689091.168,0.0651464037211505
2126,0.012,0.0,0.000519137957571478,0.0,801880.SI,8131149521.356,0.0217319263094079
2127,0.012,0.0,-0.0004993303938901911,0.0,801200.SI,37380986008.866,0.109554313874551
2128,0.00655580114821844,0.0,0.000763226280478851,0.00461627291169259,801020.SI,13261346929.921999,-0.0280047917923782
2129,0.012,0.0,-0.000277777049666432,0.0,801730.SI,47466884507.26,0.0432395683973761
2130,0.00212010427666677,0.0,-4.77034951478123e-05,0.0,801050.SI,5448222971.87,0.0
2131,0.012,0.0,0.0011373432084047699,0.00590134143355084,801760.SI,22859998115.25,0.106108413528205
2134,0.0116866297633102,0.0,-0.00021108001027666002,0.0,801080.SI,2466364872.576,0.0
2135,0.008204083650486409,0.0,0.000426697467968077,0.004024056209844079,801720.SI,7039304651.808001,0.0104497753844602
2137,0.0060977540511583895,0.0,-0.00169231033908796,0.0,801760.SI,2505019652.394,-0.0469116485961917
2138,0.012,0.0,0.000513566455821113,0.0,801080.SI,16165938794.99,0.0
2139,0.00364575871356915,0.0,-0.000420796190417061,0.0,801080.SI,4369870949.43,-0.004616356022574679
2142,0.012,0.005,0.000593794386999141,0.0029969431051462,801780.SI,142175606202.682,0.0635282913232982
2145,0.00579076595911144,0.0,0.00116875247302172,0.0039959241401949395,801030.SI,6911882082.144,0.0
2146,0.00861385564034496,0.0,0.00024263282661416498,0.0,801180.SI,30105067064.656002,-0.0134016179254553
2149,0.0045222774804924,0.0,-0.000427942544259873,0.0,801050.SI,2966316096.876,0.0
2151,0.012,0.0,0.00030573112354095,0.0,801740.SI,12020318597.452,0.0
2152,0.012,0.0,7.35547777630113e-05,0.0,801750.SI,27734261323.356003,0.0410291683195232
2153,0.00748092577979612,0.0,-5.34546407048996e-05,0.00682010463335869,801750.SI,14239483742.88,0.0
2155,0.00732003715003992,0.0,0.00025245189672536004,0.0,801050.SI,9387054985.55,0.0
2156,0.012,0.0,0.000130979911086292,0.0,801080.SI,27204245576.288,0.181856981102149
2157,0.012,0.0,0.000921539884209546,0.0,801010.SI,35290616870.7,0.0
2160,0.0056496904723243105,0.0,0.00044113106923761904,0.0,801050.SI,2943973279.2840004,0.0
2161,0.0052439508630579895,0.0,0.00127250758949074,0.00387735321224751,801080.SI,5145219523.26,0.0
2163,0.00960187616325814,0.0,-0.00138140302403171,0.0,801710.SI,6385821386.851999,0.0
2168,0.00337652294976892,0.0,0.000128262567580374,0.0,801760.SI,5709849314.598001,-0.144853661227638
2170,0.00615551065037706,0.0,-0.000835631174308949,0.0,801030.SI,2745153979.92,0.0
2171,0.012,0.0,0.00206701803304397,0.0,801050.SI,8930698816.624,0.00977274395302165
2174,0.012,0.0,0.000850109190643064,0.00440337233062645,801760.SI,12547188215.296001,0.0
2179,0.012,0.0,0.000736513617440305,0.0,801740.SI,36576763990.476,0.0
2180,0.012,0.0,-0.000550456700989957,0.0,801750.SI,27766275971.23,0.0
2182,0.00578460468730981,0.0,0.0005635824498321651,0.0,801050.SI,5383406896.464001,0.0
2183,0.0103422642328162,0.0,0.00018910489331288,0.0,801170.SI,9611288735.388,-0.0494240381698512
2185,0.012,0.0,-8.783478499153209e-05,0.0,801080.SI,36129090115.82,0.150009691851433
2186,0.00492470578926816,0.0,-0.0016768880828558,0.0,801210.SI,3235796117.32,-0.0518558918738199
2187,0.00463172606884533,0.0,-0.0038879134649082298,0.0,801200.SI,2610629658.432,-0.0372161972183087
2189,0.012,0.0,-0.00167574908571081,0.0,801080.SI,3738534195.73,0.0
2191,0.0046501376733684,0.0,-0.000254730620097487,0.0,801140.SI,10969615886.831999,0.0
2194,0.012,0.0,-0.000162212116866065,0.0,801770.SI,9725589708.96,0.013308422161438344
2197,0.00507456632698606,0.0,-0.000193513344496554,0.0,801750.SI,3804248425.008,0.0
2201,0.0028625183908725397,0.0,-0.000348557453137928,0.0,801030.SI,4453199130.672,0.0
